threshold,coverage,macro_precision,macro_recall,macro_f1
0.3,1.0,0.9907407407407409,0.9861111111111112,0.9870129870129871
0.35,1.0,0.9907407407407409,0.9861111111111112,0.9870129870129871
0.39999999999999997,1.0,0.9907407407407409,0.9861111111111112,0.9870129870129871
0.44999999999999996,1.0,0.9907407407407409,0.9861111111111112,0.9870129870129871
0.49999999999999994,1.0,0.9907407407407409,0.9861111111111112,0.9870129870129871
0.5499999999999999,0.9880952380952381,0.9907407407407409,0.9861111111111112,0.9870129870129871
0.5999999999999999,0.9523809523809523,1.0,1.0,1.0
0.6499999999999999,0.9047619047619048,1.0,1.0,1.0
0.7,0.9047619047619048,1.0,1.0,1.0
0.7499999999999999,0.8571428571428571,1.0,1.0,1.0
0.7999999999999998,0.75,1.0,1.0,1.0
0.8499999999999999,0.6547619047619048,1.0,1.0,1.0
0.8999999999999999,0.5119047619047619,1.0,1.0,1.0
0.95,0.5119047619047619,1.0,1.0,1.0
